"No;Peneliti & Tahun;C_1;C_2;C_3;C_4;C_5;C_6"
"1;Azmi et al.;2;1;1;0;0.99;2024"
"2;Sheila et al.;2;1;1;0;0.9375;2023"
"3;Oktaviana et al.;2;1;1;0;1;2021"
"4;Sethy et al.;2;3;1;1;0.9838;2020"
"5;Prajapati et al.;2;3;3;0;0.7333;2017"
"6;Ghyar & Birajdar;2;3;3;0;0.925;2017"
"7;Bashir et al.;2;3;1;0;0.9416;2019"
"8;Singh et al.;2;3;3;0;0.961;2022"
"10;Setiawan et al.;2;3;1;0;0.5381;2023"
"11;Rahman et al.;2;1;1;1;0.9433;2020"
"12;Susanto et al.;2;1;1;0;0.9647;2025"
"13;Fauzi et al.;2;1;1;0;0.932;2024"
"14;Agustiani et al.;2;2;2;0;0.9965;2022"
"15;Setiaji & Huda;2;2;2;0;0.933;2022"
"16;Purnamawati et al.;2;2;1;0;0.87;2020"
"17;Novantara et al.;2;1;1;1;0.9775;2025"
"18;Khoiruddin et al.;2;1;1;0;0.98;2022"
"19;Wagle & Harikrishnan;1;3;1;0;0.9115;2021"
"20;Burhanuddin;2;2;3;1;0.76;2024"
"21;Agustina et al.;2;1;1;0;0.9917;2024"
"23;Kusanti & Haris;2;2;2;1;0.80;2018"
"24;Rustanto et al.;2;2;2;0;0.9167;2024"
"25;Sarasati;2;1;1;1;0.9453;2021"
"26;Naresh kumar & Sakthivel;2;2;1;0;0.976;2025"
"28;Yao et al.;2;3;3;1;0.972;2009"
"29;Devi & Neelamegam;2;3;3;1;0.9863;2019"
"30;Hasan et al.;2;3;1;1;0.975;2019"
"31;Jiang et al.;2;3;1;1;0.968;2020"
"32;Verawati & Aunurrohim;2;2;2;0;0.9167;2024"
"33;Milano;2;1;1;0;0.7705;2024"
"35;Saputra et al.;2;1;1;0;0.92;2021"
"36;Wenda et al.;2;2;3;0;0.907;2020"
"37;Hatuwal et al.;1;1;1;0;0.9789;2020"
"38;Pothen & Pai;2;3;2;0;0.946;2020"
"43;Das et al.;1;3;2;0;0.876;2020"
"44;Santosa et al.;2;1;1;0;0.9966;2023"
"45;Shah et al.;2;1;1;0;0.9975;2023"
"46;Istiqomah & Murinto;2;1;1;0;0.93;2024"
"47;Murniyasih & Suryani;2;2;1;1;0.75;2020"
"48;Hartono et al.;2;1;1;0;0.9375;2025"
